EmployeeID,Name,Role,Grade,Recruitment,Employee Relations,Compliance,SEO,Content Creation,Social Media,Python,Algorithms,System Design,SQL,Statistics,Data Visualization,Market Analysis,Communication,Roadmapping
1,Employee_1,HR Manager,Mid,4.0,5.0,3.0,,,,,,,,,,,,
2,Employee_2,HR Manager,Junior,5.0,5.0,2.0,,,,,,,,,,,,
3,Employee_3,Marketing Specialist,Mid,,,,3.0,3.0,3.0,,,,,,,,,
4,Employee_4,Software Engineer,Senior,,,,,,,5.0,4.0,3.0,,,,,,
5,Employee_5,Data Analyst,Mid,,,,,,,,,,5.0,2.0,4.0,,,
6,Employee_6,Data Analyst,Junior,,,,,,,,,,2.0,4.0,5.0,,,
7,Employee_7,Data Analyst,Mid,,,,,,,,,,1.0,4.0,2.0,,,
8,Employee_8,Marketing Specialist,Junior,,,,5.0,4.0,1.0,,,,,,,,,
9,Employee_9,HR Manager,Senior,1.0,3.0,3.0,,,,,,,,,,,,
10,Employee_10,HR Manager,Senior,2.0,4.0,4.0,,,,,,,,,,,,
11,Employee_11,Marketing Specialist,Senior,,,,3.0,4.0,4.0,,,,,,,,,
12,Employee_12,Data Analyst,Junior,,,,,,,,,,1.0,3.0,5.0,,,
13,Employee_13,Data Analyst,Mid,,,,,,,,,,3.0,5.0,1.0,,,
14,Employee_14,Software Engineer,Mid,,,,,,,2.0,4.0,1.0,,,,,,
15,Employee_15,Product Manager,Junior,,,,,,,,,,,,,4.0,2.0,2.0
16,Employee_16,HR Manager,Senior,1.0,2.0,5.0,,,,,,,,,,,,
17,Employee_17,Product Manager,Senior,,,,,,,,,,,,,2.0,4.0,4.0
18,Employee_18,Product Manager,Mid,,,,,,,,,,,,,4.0,4.0,5.0
19,Employee_19,Product Manager,Senior,,,,,,,,,,,,,3.0,1.0,4.0
20,Employee_20,Data Analyst,Junior,,,,,,,,,,2.0,4.0,2.0,,,
21,Employee_21,Product Manager,Junior,,,,,,,,,,,,,2.0,4.0,5.0
22,Employee_22,Data Analyst,Mid,,,,,,,,,,2.0,2.0,4.0,,,
23,Employee_23,Data Analyst,Senior,,,,,,,,,,2.0,2.0,4.0,,,
24,Employee_24,HR Manager,Senior,4.0,1.0,5.0,,,,,,,,,,,,
25,Employee_25,Marketing Specialist,Mid,,,,5.0,2.0,5.0,,,,,,,,,
26,Employee_26,Marketing Specialist,Junior,,,,2.0,1.0,4.0,,,,,,,,,
27,Employee_27,Software Engineer,Mid,,,,,,,4.0,4.0,5.0,,,,,,
28,Employee_28,HR Manager,Junior,1.0,5.0,5.0,,,,,,,,,,,,
29,Employee_29,Marketing Specialist,Junior,,,,1.0,1.0,1.0,,,,,,,,,
30,Employee_30,Software Engineer,Mid,,,,,,,1.0,4.0,3.0,,,,,,
31,Employee_31,Software Engineer,Mid,,,,,,,3.0,1.0,3.0,,,,,,
32,Employee_32,HR Manager,Senior,3.0,1.0,3.0,,,,,,,,,,,,
33,Employee_33,HR Manager,Mid,5.0,2.0,2.0,,,,,,,,,,,,
34,Employee_34,Data Analyst,Mid,,,,,,,,,,1.0,4.0,1.0,,,
35,Employee_35,Software Engineer,Senior,,,,,,,4.0,2.0,1.0,,,,,,
36,Employee_36,Product Manager,Senior,,,,,,,,,,,,,5.0,3.0,4.0
37,Employee_37,Product Manager,Junior,,,,,,,,,,,,,3.0,3.0,1.0
38,Employee_38,HR Manager,Junior,3.0,5.0,3.0,,,,,,,,,,,,
39,Employee_39,HR Manager,Junior,1.0,5.0,2.0,,,,,,,,,,,,
40,Employee_40,HR Manager,Senior,3.0,1.0,2.0,,,,,,,,,,,,
41,Employee_41,Data Analyst,Senior,,,,,,,,,,2.0,4.0,5.0,,,
42,Employee_42,Marketing Specialist,Mid,,,,3.0,1.0,4.0,,,,,,,,,
43,Employee_43,Software Engineer,Junior,,,,,,,5.0,4.0,5.0,,,,,,
44,Employee_44,Marketing Specialist,Mid,,,,5.0,3.0,5.0,,,,,,,,,
45,Employee_45,Marketing Specialist,Senior,,,,4.0,5.0,3.0,,,,,,,,,
46,Employee_46,Data Analyst,Senior,,,,,,,,,,3.0,4.0,2.0,,,
47,Employee_47,Marketing Specialist,Senior,,,,2.0,5.0,1.0,,,,,,,,,
48,Employee_48,Data Analyst,Junior,,,,,,,,,,5.0,4.0,4.0,,,
49,Employee_49,HR Manager,Mid,4.0,4.0,4.0,,,,,,,,,,,,
50,Employee_50,Marketing Specialist,Senior,,,,3.0,2.0,4.0,,,,,,,,,
51,Employee_51,Software Engineer,Mid,,,,,,,1.0,1.0,1.0,,,,,,
52,Employee_52,Product Manager,Junior,,,,,,,,,,,,,1.0,3.0,1.0
53,Employee_53,Software Engineer,Senior,,,,,,,4.0,5.0,1.0,,,,,,
54,Employee_54,Marketing Specialist,Junior,,,,3.0,3.0,1.0,,,,,,,,,
55,Employee_55,Product Manager,Senior,,,,,,,,,,,,,5.0,1.0,3.0
56,Employee_56,HR Manager,Mid,2.0,4.0,3.0,,,,,,,,,,,,
57,Employee_57,HR Manager,Junior,1.0,4.0,1.0,,,,,,,,,,,,
58,Employee_58,Data Analyst,Mid,,,,,,,,,,1.0,2.0,4.0,,,
59,Employee_59,HR Manager,Junior,4.0,2.0,3.0,,,,,,,,,,,,
60,Employee_60,Data Analyst,Mid,,,,,,,,,,1.0,5.0,1.0,,,
