EmployeeID,Name,Role,Skill,CurrentProficiency,RequiredProficiency,Gap,RecommendedTraining
1,Employee_1,Software Engineer,Python,4.0,5,1.0,Advanced Python Training
1,Employee_1,Software Engineer,System Design,3.0,5,2.0,Advanced System Design Training
2,Employee_2,Software Engineer,System Design,2.0,5,3.0,Advanced System Design Training
3,Employee_3,Software Engineer,Python,3.0,5,2.0,Advanced Python Training
3,Employee_3,Software Engineer,Algorithms,3.0,5,2.0,Advanced Algorithms Training
3,Employee_3,Software Engineer,System Design,3.0,5,2.0,Advanced System Design Training
4,Employee_4,HR Manager,Employee Relations,4.0,5,1.0,Advanced Employee Relations Training
4,Employee_4,HR Manager,Compliance,3.0,5,2.0,Advanced Compliance Training
5,Employee_5,Product Manager,Communication,2.0,5,3.0,Advanced Communication Training
5,Employee_5,Product Manager,Roadmapping,4.0,5,1.0,Advanced Roadmapping Training
6,Employee_6,Product Manager,Market Analysis,2.0,5,3.0,Advanced Market Analysis Training
6,Employee_6,Product Manager,Communication,4.0,5,1.0,Advanced Communication Training
7,Employee_7,Data Analyst,SQL,1.0,5,4.0,Advanced SQL Training
7,Employee_7,Data Analyst,Statistics,4.0,5,1.0,Advanced Statistics Training
7,Employee_7,Data Analyst,Data Visualization,2.0,5,3.0,Advanced Data Visualization Training
8,Employee_8,Data Analyst,Statistics,4.0,5,1.0,Advanced Statistics Training
8,Employee_8,Data Analyst,Data Visualization,1.0,5,4.0,Advanced Data Visualization Training
9,Employee_9,Software Engineer,Python,1.0,5,4.0,Advanced Python Training
9,Employee_9,Software Engineer,Algorithms,3.0,5,2.0,Advanced Algorithms Training
9,Employee_9,Software Engineer,System Design,3.0,5,2.0,Advanced System Design Training
10,Employee_10,Software Engineer,Python,2.0,5,3.0,Advanced Python Training
10,Employee_10,Software Engineer,Algorithms,4.0,5,1.0,Advanced Algorithms Training
10,Employee_10,Software Engineer,System Design,4.0,5,1.0,Advanced System Design Training
11,Employee_11,Data Analyst,SQL,3.0,5,2.0,Advanced SQL Training
11,Employee_11,Data Analyst,Statistics,4.0,5,1.0,Advanced Statistics Training
11,Employee_11,Data Analyst,Data Visualization,4.0,5,1.0,Advanced Data Visualization Training
12,Employee_12,Product Manager,Market Analysis,1.0,5,4.0,Advanced Market Analysis Training
12,Employee_12,Product Manager,Communication,3.0,5,2.0,Advanced Communication Training
13,Employee_13,Marketing Specialist,SEO,3.0,5,2.0,Advanced SEO Training
13,Employee_13,Marketing Specialist,Social Media,1.0,5,4.0,Advanced Social Media Training
14,Employee_14,Data Analyst,SQL,2.0,5,3.0,Advanced SQL Training
14,Employee_14,Data Analyst,Statistics,4.0,5,1.0,Advanced Statistics Training
14,Employee_14,Data Analyst,Data Visualization,1.0,5,4.0,Advanced Data Visualization Training
15,Employee_15,HR Manager,Recruitment,4.0,5,1.0,Advanced Recruitment Training
15,Employee_15,HR Manager,Employee Relations,2.0,5,3.0,Advanced Employee Relations Training
15,Employee_15,HR Manager,Compliance,2.0,5,3.0,Advanced Compliance Training
16,Employee_16,Software Engineer,Python,1.0,5,4.0,Advanced Python Training
16,Employee_16,Software Engineer,Algorithms,2.0,5,3.0,Advanced Algorithms Training
17,Employee_17,Software Engineer,Python,2.0,5,3.0,Advanced Python Training
17,Employee_17,Software Engineer,Algorithms,4.0,5,1.0,Advanced Algorithms Training
17,Employee_17,Software Engineer,System Design,4.0,5,1.0,Advanced System Design Training
18,Employee_18,Product Manager,Market Analysis,4.0,5,1.0,Advanced Market Analysis Training
18,Employee_18,Product Manager,Communication,4.0,5,1.0,Advanced Communication Training
19,Employee_19,Software Engineer,Python,3.0,5,2.0,Advanced Python Training
19,Employee_19,Software Engineer,Algorithms,1.0,5,4.0,Advanced Algorithms Training
19,Employee_19,Software Engineer,System Design,4.0,5,1.0,Advanced System Design Training
20,Employee_20,Marketing Specialist,SEO,2.0,5,3.0,Advanced SEO Training
20,Employee_20,Marketing Specialist,Content Creation,4.0,5,1.0,Advanced Content Creation Training
20,Employee_20,Marketing Specialist,Social Media,2.0,5,3.0,Advanced Social Media Training
21,Employee_21,Marketing Specialist,SEO,2.0,5,3.0,Advanced SEO Training
21,Employee_21,Marketing Specialist,Content Creation,4.0,5,1.0,Advanced Content Creation Training
22,Employee_22,HR Manager,Recruitment,2.0,5,3.0,Advanced Recruitment Training
22,Employee_22,HR Manager,Employee Relations,2.0,5,3.0,Advanced Employee Relations Training
22,Employee_22,HR Manager,Compliance,4.0,5,1.0,Advanced Compliance Training
23,Employee_23,Software Engineer,Python,2.0,5,3.0,Advanced Python Training
23,Employee_23,Software Engineer,Algorithms,2.0,5,3.0,Advanced Algorithms Training
23,Employee_23,Software Engineer,System Design,4.0,5,1.0,Advanced System Design Training
24,Employee_24,HR Manager,Recruitment,4.0,5,1.0,Advanced Recruitment Training
24,Employee_24,HR Manager,Employee Relations,1.0,5,4.0,Advanced Employee Relations Training
25,Employee_25,Data Analyst,Statistics,2.0,5,3.0,Advanced Statistics Training
26,Employee_26,Software Engineer,Python,2.0,5,3.0,Advanced Python Training
26,Employee_26,Software Engineer,Algorithms,1.0,5,4.0,Advanced Algorithms Training
26,Employee_26,Software Engineer,System Design,4.0,5,1.0,Advanced System Design Training
27,Employee_27,Data Analyst,SQL,4.0,5,1.0,Advanced SQL Training
27,Employee_27,Data Analyst,Statistics,4.0,5,1.0,Advanced Statistics Training
28,Employee_28,Marketing Specialist,SEO,1.0,5,4.0,Advanced SEO Training
29,Employee_29,Software Engineer,Python,1.0,5,4.0,Advanced Python Training
29,Employee_29,Software Engineer,Algorithms,1.0,5,4.0,Advanced Algorithms Training
29,Employee_29,Software Engineer,System Design,1.0,5,4.0,Advanced System Design Training
30,Employee_30,Software Engineer,Python,1.0,5,4.0,Advanced Python Training
